class,slp,sp21,sp11,sp7,rph21,rph11,rph7,diss21,diss11,diss7,slpmn21,slpmn11,slpmn7,sei,hli,asp_lin,sar,ssr21,ssr11,ssr7,crossc21,crossc11,crossc7,planc21,planc11,planc7,proc21,proc11,proc7,longc21,longc11,longc7,us_dist,state_dist,local_dist,strm_dist,strm_cost,us_cost,state_cost,local_cost,steve,dspm,drain
not,4.8561201,-2.5608499,-0.799744,-0.338257,18.6557007,2.1166799,0.248973,0.0420332,0.0563098,0.234131,10.6515999,7.6199498,4.3958201,-4.5918999,0.284941,334.3599854,4.01441,0.194237,0.166978,0.428755,0.0005145,-0.0003238,-0.001257,-0.0029532,0.0023745,0.0142389,-0.0064787,-0.0125738,-0.0109866,-0.0067759,-0.0129261,-0.0111153,1806.02002,6168.839844,0,72.8011017,86.6379013,2239.27002,14990.7998,65.5877991,4,1,1
not,4.9143701,-0.353561,-0.0278473,0.0186005,4.7886,1.27792,0.473525,0.392066,0.421253,0.498061,6.4641199,6.03022,5.9331398,-3.7804899,0.20896,330.0329895,4.01476,0.430043,0.427233,0.491059,-0.0012675,-0.0003091,0.0002496,0.0124309,0.0030793,-0.0025101,-0.0008746,-0.001266,-0.0008577,-0.0008883,-0.0012852,-0.0008705,5760.080078,3517.290039,421.0700073,534.6030273,1660.099976,3253.659912,2088.399902,1857.839966,5,5,2
not,20.1800995,2.66833,0.998749,0.579987,50.6442986,13.6062002,5.82373,0.805017,0.724216,0.647982,17.2950993,17.8738003,18.6912003,3.6151299,0.2533,102.2900009,4.26161,0.703932,0.65252,0.584967,-0.0006902,-0.0015087,-0.0023867,0.0021952,0.0046418,0.0072352,0.0069849,0.010493,0.0109809,0.0080456,0.0121989,0.0128211,18660.5,2126.149902,167.6309967,404.4750061,4824.419922,31574.80078,6956.910156,871.1799927,2,3,2
not,10.4758997,-0.905396,-0.144409,-0.0858154,22.7772007,5.9375401,2.20486,0.409448,0.475835,0.432278,13.7156,12.6731005,12.5432997,-10.0180998,0.132059,343.7449951,4.0678,0.456554,0.489818,0.446682,-0.0033021,-9.68E-05,0.0024555,0.0154659,0.0004464,-0.0111908,-0.0021681,-0.0026531,-0.0040804,-0.002318,-0.0028423,-0.0043786,1958.699951,10896.2998,22.3607006,56.5685005,492.1350098,17567.09961,45947.89844,275.9519958,1,5,2
not,6.9471898,-0.103668,-0.0073242,0.0457764,7.90589,1.9937201,0.729704,0.46818,0.496475,0.5169,7.7766199,7.7242699,7.4791999,5.0622501,0.806981,148.8999939,4.0295801,0.477503,0.497673,0.504035,7.75E-05,-0.0003173,-0.0002727,-0.0005836,0.0024332,0.0021357,-0.0003959,-0.0013546,-0.001007,-0.0004064,-0.0013893,-0.0010317,10071.2998,70.710701,141.4210052,117.0469971,1064.140015,29078.69922,527.9949951,845.0059814,1,3,2
not,0.251264,-3.34027,-1.38754,-0.659485,20.0527,4.5303102,1.2739,0.0019065,0.0036825,0.0065757,11.1681995,9.6573,8.27812,0.189371,0.866052,131.503006,4.0000401,0.232488,0.18869,0.163594,-0.0016984,4.94E-05,0.0007707,0.0108813,-0.0002888,-0.0052015,-0.0065469,-0.0131973,-0.0198304,-0.0067876,-0.0137809,-0.0204871,1278.01001,12266.2998,44.7214012,20,76.1911011,3900.75,43642.60156,328.6400146,3,8,6
not,3.89042,0.438049,0.107391,0.0211182,2.19541,0.645506,0.221563,0.70523,0.585488,0.596761,5.0558901,4.4119501,4.11064,-2.8331201,0.198439,31.7416,4.0092402,0.628128,0.550044,0.585073,-2.94E-05,0.0006186,0.0006418,0.0004553,-0.0085249,-0.0092398,0.0023318,0.0015254,0.0021476,0.0023464,0.0015374,0.0021632,2210,3209.300049,14.1421003,110,960.1729736,5810.200195,12747.59961,57.4183006,4,3,2
not,7.5207601,-1.0712,-0.388947,-0.158844,9.0995302,1.95044,0.737056,0.302996,0.354173,0.35637,8.5961304,7.4277601,7.16717,4.47508,0.453541,123.9869995,4.0347099,0.385379,0.424805,0.40282,-0.0003818,-0.0015041,-0.0014708,0.0026129,0.0117891,0.0118542,-0.002219,-0.0035705,-0.0045101,-0.0022904,-0.0036581,-0.0046147,9581.700195,12704.7998,644.7479858,738.2410278,2357.050049,37393.80078,30096.09961,2407.159912,7,5,5
not,22.6716003,0.993118,0.511887,0.237091,66.7121964,20.5547009,8.2453604,0.596957,0.540161,0.519153,20.4020004,22.5709,22.9183998,9.23277,0.0861621,112.6259995,4.33496,0.563144,0.511395,0.498138,-0.0004554,0.0023766,0.0070909,0.0012632,-0.0058405,-0.0170195,0.0014371,0.0016507,0.0012415,0.0017263,0.0020772,0.0015784,14656.90039,4250.180176,170,41.2310982,870.2449951,87359.20313,40135.5,1639.319946,4,3,2
not,16.0739994,0.973999,0.0148926,-0.0617676,44.3871994,10.8706999,4.26722,0.635119,0.542697,0.489716,17.5125999,16.9806004,16.6821003,10.0193996,0.0648739,127.6800003,4.1627402,0.598518,0.541586,0.497431,0.0008893,0.0014754,0.0007849,-0.0028917,-0.0048401,-0.0026208,0.0042414,0.0031274,-9.39E-05,0.0048571,0.0035733,-0.0001069,10649.09961,7041.939941,108.1669998,63.2456017,1361.810059,56451.10156,25689.19922,2163.280029,4,3,2
