class,cost,ctmi,crv_arc,crv_plane,crv_pro,diss_10,diss_20,diss_25,diss_5,diss_a,rough_10,rough_20,rough_25,rough_5,rough_a,slp_d,sp_10,sp_20,sp_25,sp_5,sp_a,dem_m
not,404.4440002,9.7218103,-0.376308,-0.270172,0.106136,0.596801,0.423932,0.390846,0.559673,0.492813,2.21438,3.2139699,3.5401199,1.43006,2.5996301,4.1155601,0.823059,0.356201,-0.31958,-0.115417,0.186066,544.4069824
not,19.3654995,7.8102002,-0.501769,-0.0958583,0.405911,0.127337,0.0704219,0.0678516,0.150943,0.104138,1.4149899,2.61464,3.1200199,0.944582,2.02356,2.78634,-2.12079,-6.3846402,-9.4906597,-0.599976,-4.6490202,579.6619873
not,907.3740234,5.8333998,1.88975,0.630867,-1.25889,0.882726,0.776313,0.746689,0.974049,0.844944,2.0631101,2.59621,2.67275,1.5381401,2.21755,5.0201502,4.61517,6.06598,5.4609399,2.3327601,4.61871,676.3239746
not,407.9849854,6.0541,0.6689,0.152399,-0.516501,0.490594,0.504769,0.486941,0.592066,0.518593,2.1998799,2.8884799,3.2943001,1.7416101,2.53107,8.0197496,0.584595,-2.1484399,-3.3292799,1.06995,-0.955795,620.5390015
not,360.7179871,6.85992,-0.878002,-0.237463,0.640539,0.421594,0.338215,0.330672,0.464568,0.388762,2.45175,3.2019701,3.4688201,1.94819,2.7676799,8.9421902,-3.2088001,-9.33887,-10.8905001,-0.280945,-5.92978,585.2839966
not,1422.400024,7.0821199,-1.33799,-0.979219,0.358769,0.394636,0.44482,0.450883,0.425774,0.429028,3.3180399,4.2734098,4.3593102,2.24122,3.5480001,11.3978996,-3.42609,-3.8271501,-3.35724,-1.18994,-2.9500999,508.1019897
not,2212.469971,7.0740499,0.250998,0.104978,-0.146019,0.400281,0.483131,0.493697,0.445247,0.455589,3.5387001,4.56673,4.8002801,2.44362,3.8373301,14.2538004,-1.60303,-0.571411,1.21094,-0.308533,-0.318008,617.2199707
not,2288.929932,6.2657399,0.585033,0.417902,-0.167131,0.937602,0.931444,0.916958,0.893281,0.919821,3.43086,5.0858202,5.5812302,2.1939499,4.0729599,3.2628601,10.4139996,23.8864994,28.1854,3.5413201,16.5067997,709.9470215
not,702.5949707,6.7325702,0.0419711,0.0652305,0.0232594,0.347435,0.600178,0.624041,0.356324,0.481995,1.71683,2.7688799,3.3429201,1.19994,2.2571399,4.0890098,-0.369263,1.28711,2.7018399,-0.159668,0.865005,633.882019
not,1700.23999,5.67378,-0.376383,0.0629218,0.439305,0.397294,0.375786,0.338593,0.444324,0.388999,3.7769499,4.73101,4.9817801,2.8475599,4.0843201,22.4006004,2.0699501,5.8740201,6.1841402,-0.0230103,3.5262799,611.2930298
